Question,Tag
Continuous Subarray Sum,hash-table
Contiguous Array,hash-table
Lonely Pixel I,hash-table
K-diff Pairs in an Array,hash-table
Lonely Pixel II,hash-table
Encode and Decode TinyURL,hash-table
Brick Wall,hash-table
Subarray Sum Equals K,hash-table
Permutation in String,hash-table
Distribute Candies,hash-table
Kill Process,hash-table
Design In-Memory File System,hash-table
Longest Harmonious Subsequence,hash-table
Minimum Index Sum of Two Lists,hash-table
Design Compressed String Iterator,hash-table
Find Duplicate File in System,hash-table
Add Bold Tag in String,hash-table
Task Scheduler,hash-table
Smallest Range Covering Elements from K Lists,hash-table
Design Log Storage System,hash-table
Set Mismatch,hash-table
Replace Words,hash-table
Find Duplicate Subtrees,hash-table
Two Sum IV - Input is a BST,hash-table
Split Array into Consecutive Subsequences,hash-table
Implement Magic Dictionary,hash-table
Map Sum Pairs,hash-table
Employee Importance,hash-table
Top K Frequent Words,hash-table
Number of Distinct Islands,hash-table
Degree of an Array,hash-table
Design HashSet,hash-table
Design HashMap,hash-table
Random Pick with Blacklist,hash-table
Number of Distinct Islands II,hash-table
Longest Word in Dictionary,hash-table
Number of Atoms,hash-table
Sentence Similarity,hash-table
Parse Lisp Expression,hash-table
Sentence Similarity II,hash-table
Delete and Earn,hash-table
Prefix and Suffix Search,hash-table
Shortest Completing Word,hash-table
Open the Lock,hash-table
Bold Words in String,hash-table
Find Anagram Mappings,hash-table
Partition Labels,hash-table
Reorganize String,hash-table
Basic Calculator IV,hash-table
Jewels and Stones,hash-table
Rabbits in Forest,hash-table
Custom Sort String,hash-table
Number of Matching Subsequences,hash-table
Unique Morse Code Words,hash-table
Subdomain Visit Count,hash-table
Bus Routes,hash-table
Linked List Components,hash-table
Most Common Word,hash-table
Check if There is a Valid Partition For The Array,hash-table
Two Sum,hash-table
Longest Substring Without Repeating Characters,hash-table
Integer to Roman,hash-table
Roman to Integer,hash-table
Letter Combinations of a Phone Number,hash-table
Substring with Concatenation of All Words,hash-table
Valid Sudoku,hash-table
Sudoku Solver,hash-table
First Missing Positive,hash-table
Group Anagrams,hash-table
Set Matrix Zeroes,hash-table
Minimum Window Substring,hash-table
Construct Binary Tree from Preorder and Inorder Traversal,hash-table
Construct Binary Tree from Inorder and Postorder Traversal,hash-table
Word Ladder II,hash-table
Word Ladder,hash-table
Longest Consecutive Sequence,hash-table
Clone Graph,hash-table
Copy List with Random Pointer,hash-table
Word Break,hash-table
Word Break II,hash-table
Linked List Cycle,hash-table
Linked List Cycle II,hash-table
LRU Cache,hash-table
Max Points on a Line,hash-table
Longest Substring with At Most Two Distinct Characters,hash-table
Intersection of Two Linked Lists,hash-table
Fraction to Recurring Decimal,hash-table
Majority Element,hash-table
Two Sum III - Data structure design,hash-table
Repeated DNA Sequences,hash-table
Happy Number,hash-table
Isomorphic Strings,hash-table
Implement Trie (Prefix Tree),hash-table
Contains Duplicate,hash-table
Contains Duplicate II,hash-table
Majority Element II,hash-table
Valid Anagram,hash-table
Shortest Word Distance II,hash-table
Strobogrammatic Number,hash-table
Group Shifted Strings,hash-table
Ugly Number II,hash-table
Palindrome Permutation,hash-table
Palindrome Permutation II,hash-table
Missing Number,hash-table
Unique Word Abbreviation,hash-table
Word Pattern,hash-table
Word Pattern II,hash-table
Bulls and Cows,hash-table
Lowest Common Ancestor of Deepest Leaves,hash-table
Longest Well-Performing Interval,hash-table
Number of Equivalent Domino Pairs,hash-table
Largest Unique Number,hash-table
Alphabet Board Path,hash-table
Snapshot Array,hash-table
Analyze User Website Visit Pattern,hash-table
String Transforms Into Another String,hash-table
Swap For Longest Repeated Character Substring,hash-table
Find Words That Can Be Formed by Characters,hash-table
Single-Row Keyboard,hash-table
Design File System,hash-table
Invalid Transactions,hash-table
Compare Strings by Frequency of the Smallest Character,hash-table
Remove Zero Sum Consecutive Nodes from Linked List,hash-table
Dinner Plate Stacks,hash-table
Can Make Palindrome from Substring,hash-table
Number of Valid Words for Each Puzzle,hash-table
Before and After Puzzle,hash-table
Maximum Number of Balloons,hash-table
Find Smallest Common Element in All Rows,hash-table
Smallest String With Swaps,hash-table
Unique Number of Occurrences,hash-table
Intersection of Three Sorted Arrays,hash-table
Longest Arithmetic Subsequence of Given Difference,hash-table
Maximum Equal Frequency,hash-table
Design A Leaderboard,hash-table
Count Number of Nice Subarrays,hash-table
Smallest Common Region,hash-table
Synonymous Sentences,hash-table
Find Elements in a Contaminated Binary Tree,hash-table
Find Winner on a Tic Tac Toe Game,hash-table
Group the People Given the Group Size They Belong To,hash-table
Divide Array in Sets of K Consecutive Numbers,hash-table
Maximum Number of Occurrences of a Substring,hash-table
Get Watched Videos by Your Friends,hash-table
Rank Transform of an Array,hash-table
Reduce Array Size to The Half,hash-table
Jump Game IV,hash-table
Check If N and Its Double Exist,hash-table
Minimum Number of Steps to Make Two Strings Anagram,hash-table
Tweet Counts Per Frequency,hash-table
Apply Discount Every n Orders,hash-table
Number of Substrings Containing All Three Characters,hash-table
How Many Numbers Are Smaller Than the Current Number,hash-table
Rank Teams by Votes,hash-table
Increasing Decreasing String,hash-table
Find the Longest Substring Containing Vowels in Even Counts,hash-table
Cinema Seat Allocation,hash-table
Find Lucky Integer in an Array,hash-table
Design Underground System,hash-table
Count Largest Group,hash-table
Construct K Palindrome Strings,hash-table
HTML Entity Parser,hash-table
Display Table of Food Orders in a Restaurant,hash-table
Counting Elements,hash-table
First Unique Number,hash-table
Destination City,hash-table
Count Triplets That Can Form Two Arrays of Equal XOR,hash-table
Minimum Time to Collect All Apples in a Tree,hash-table
People Whose List of Favorite Companies Is Not a Subset of Another List,hash-table
Make Two Arrays Equal by Reversing Subarrays,hash-table
Check If a String Contains All Binary Codes of Size K,hash-table
Find Two Non-overlapping Sub-arrays Each With Target Sum,hash-table
Least Number of Unique Integers after K Removals,hash-table
Clone Binary Tree With Random Pointer,hash-table
Making File Names Unique,hash-table
Avoid Flood in The City,hash-table
Clone N-ary Tree,hash-table
Path Crossing,hash-table
Check If Array Pairs Are Divisible by k,hash-table
Design a File Sharing System,hash-table
Find Root of N-Ary Tree,hash-table
Number of Good Pairs,hash-table
Number of Nodes in the Sub-Tree With the Same Label,hash-table
Can Convert String in K Moves,hash-table
Find Longest Awesome Substring,hash-table
Maximum Number of Non-Overlapping Subarrays With Sum Equals Target,hash-table
Strings Differ by One Character,hash-table
Dot Product of Two Sparse Vectors,hash-table
Number of Ways Where Square of Number Is Equal to Product of Two Numbers,hash-table
Make Sum Divisible by P,hash-table
Split a String Into the Max Number of Unique Substrings,hash-table
Throne Inheritance,hash-table
Alert Using Same Key-Card Three or More Times in a One Hour Period,hash-table
Largest Substring Between Two Equal Characters,hash-table
Sort Array by Increasing Frequency,hash-table
Count Substrings That Differ by One Character,hash-table
Check Array Formation Through Concatenation,hash-table
Minimum Deletions to Make Character Frequencies Unique,hash-table
Lowest Common Ancestor of a Binary Tree III,hash-table
Design an Ordered Stream,hash-table
Determine if Two Strings Are Close,hash-table
Minimum Operations to Reduce X to Zero,hash-table
Correct a Binary Tree,hash-table
Minimum Moves to Make Array Complementary,hash-table
Max Number of K-Sum Pairs,hash-table
Count the Number of Consistent Strings,hash-table
Maximum Erasure Value,hash-table
Count Good Meals,hash-table
Minimum Operations to Make a Subsequence,hash-table
Tuple with Same Product,hash-table
Change Minimum Characters to Satisfy One of Three Conditions,hash-table
Find Distance in a Binary Tree,hash-table
Maximum Number of Balls in a Box,hash-table
Restore the Array From Adjacent Pairs,hash-table
Sum of Unique Elements,hash-table
Design Most Recently Used Queue,hash-table
Longest Nice Substring,hash-table
Sort Features by Popularity,hash-table
Equal Sum Arrays With Minimum Number of Operations,hash-table
Sum of Beauty of All Substrings,hash-table
Check if One String Swap Can Make Strings Equal,hash-table
Count Pairs of Equal Substrings With Minimum Difference,hash-table
Second Largest Digit in a String,hash-table
Design Authentication Manager,hash-table
Implement Trie II (Prefix Tree),hash-table
Number of Different Integers in a String,hash-table
Evaluate the Bracket Pairs of a String,hash-table
Count Nice Pairs in an Array,hash-table
Finding the Users Active Minutes,hash-table
Check if the Sentence Is Pangram,hash-table
Remove Duplicates From an Unsorted Linked List,hash-table
Distinct Numbers in Each Subarray,hash-table
Largest Color Value in a Directed Graph,hash-table
Finding Pairs With a Certain Sum,hash-table
Substrings of Size Three with Distinct Characters,hash-table
Check if All the Integers in a Range Are Covered,hash-table
Redistribute Characters to Make All Strings Equal,hash-table
Minimum Absolute Difference Queries,hash-table
Design Movie Rental System,hash-table
Number of Wonderful Substrings,hash-table
Unique Length-3 Palindromic Subsequences,hash-table
Merge BSTs to Create Single BST,hash-table
Maximum Number of Words You Can Type,hash-table
Longest Common Subsequence Between Sorted Arrays,hash-table
Check if All Characters Have Equal Number of Occurrences,hash-table
Delete Duplicate Folders in System,hash-table
Widest Pair of Indices With Equal Range Sum,hash-table
Operations on Tree,hash-table
Number of Pairs of Interchangeable Rectangles,hash-table
Count Number of Pairs With Absolute Difference K,hash-table
Find Original Array From Doubled Array,hash-table
Detect Squares,hash-table
Maximum Number of Ways to Partition an Array,hash-table
Two Out of Three,hash-table
Stock Price Fluctuation,hash-table
Simple Bank System,hash-table
Kth Distinct String in an Array,hash-table
Count Vowel Substrings of a String,hash-table
Check Whether Two Strings are Almost Equivalent,hash-table
Range Frequency Queries,hash-table
Substrings That Begin and End With the Same Letter,hash-table
Count Common Words With One Occurrence,hash-table
Finding 3-Digit Even Numbers,hash-table
Find Subsequence of Length K With the Largest Sum,hash-table
Rings and Rods,hash-table
Number of Unique Flavors After Sharing K Candies,hash-table
Find All Possible Recipes from Given Supplies,hash-table
Intervals Between Identical Elements,hash-table
Recover the Original Array,hash-table
Longest Palindrome by Concatenating Two Letter Words,hash-table
Check if Every Row and Column Contains All Numbers,hash-table
Count Words Obtained After Adding a Letter,hash-table
Find All Lonely Numbers in the Array,hash-table
Minimum Number of Lines to Cover Points,hash-table
Keep Multiplying Found Values by Two,hash-table
Design Bitset,hash-table
Unique Substrings With Equal Digit Frequency,hash-table
Minimum Operations to Make the Array Alternating,hash-table
Minimum Number of Steps to Make Two Strings Anagram II,hash-table
Most Frequent Number Following Key In an Array,hash-table
Create Binary Tree From Descriptions,hash-table
Count Artifacts That Can Be Extracted,hash-table
Divide Array Into Equal Pairs,hash-table
Find the Difference of Two Arrays,hash-table
Find Players With Zero or One Losses,hash-table
Encrypt and Decrypt Strings,hash-table
Minimum Rounds to Complete All Tasks,hash-table
Intersection of Multiple Arrays,hash-table
Count Lattice Points Inside a Circle,hash-table
Number of Flowers in Full Bloom,hash-table
Design Video Sharing Platform,hash-table
Minimum Consecutive Cards to Pick Up,hash-table
K Divisible Elements Subarrays,hash-table
Total Appeal of A String,hash-table
Count Number of Texts,hash-table
Find Resultant Array After Removing Anagrams,hash-table
Largest Combination With Bitwise AND Greater Than Zero,hash-table
Check if Number Has Equal Digit Count and Digit Value,hash-table
Sender With Largest Word Count,hash-table
Rearrange Characters to Make Target String,hash-table
Replace Elements in an Array,hash-table
Match Substring After Replacement,hash-table
Naming a Company,hash-table
Greatest English Letter in Upper and Lower Case,hash-table
Decode the Message,hash-table
Smallest Number in Infinite Set,hash-table
Maximum Number of Pairs in Array,hash-table
Max Sum of a Pair With Equal Sum of Digits,hash-table
Best Poker Hand,hash-table
Design a Number Container System,hash-table
Shortest Impossible Sequence of Rolls,hash-table
First Letter to Appear Twice,hash-table
Equal Row and Column Pairs,hash-table
Design a Food Rating System,hash-table
Number of Excellent Pairs,hash-table
Make Array Zero by Subtracting Equal Amounts,hash-table
Merge Similar Items,hash-table
Count Number of Bad Pairs,hash-table
Task Scheduler II,hash-table
Number of Arithmetic Triplets,hash-table
Reachable Nodes With Restrictions,hash-table
Longest Ideal Subsequence,hash-table
Node With Highest Edge Score,hash-table
Largest Palindromic Number,hash-table
Find Subarrays With Equal Sum,hash-table
Check Distances Between Same Letters,hash-table
Most Frequent Even Element,hash-table
Optimal Partition of String,hash-table
Design SQL,hash-table
Sort the People,hash-table
Remove Letter To Equalize Frequency,hash-table
Using a Robot to Print the Lexicographically Smallest String,hash-table
Largest Positive Integer That Exists With Its Negative,hash-table
Count Number of Distinct Integers After Reverse Operations,hash-table
Odd String Difference,hash-table
Destroy Sequential Targets,hash-table
Most Popular Video Creator,hash-table
Maximum Sum of Distinct Subarrays With Length K,hash-table
Number of Distinct Averages,hash-table
Number of Unequal Triplets in Array,hash-table
Count Subarrays With Median K,hash-table
Number of Substrings With Fixed Ratio,hash-table
Divide Players Into Teams of Equal Skill,hash-table
Minimum Total Cost to Make Arrays Unequal,hash-table
Longest Square Streak in an Array,hash-table
Design Memory Allocator,hash-table
Count Pairs Of Similar Strings,hash-table
Add Edges to Make Degrees of All Nodes Even,hash-table
Reward Top K Students,hash-table
Count Anagrams,hash-table
Take K of Each Character From Left and Right,hash-table
Distinct Prime Factors of Product of Array,hash-table
Maximum Frequency Score of a Subarray,hash-table
Find Consecutive Integers from a Data Stream,hash-table
Make Number of Distinct Characters Equal,hash-table
Count the Number of Good Subarrays,hash-table
Count the Number of Good Subsequences,hash-table
Minimum Common Value,hash-table
