Question,Tag
Closest Nodes Queries in a Binary Search Tree,binary-search
Frog Jump II,binary-search
Longest Square Streak in an Array,binary-search
Minimize the Maximum of Two Arrays,binary-search
Maximum Tastiness of Candy Basket,binary-search
Count the Number of K-Big Indices,binary-search
Maximize the Minimum Powered City,binary-search
Maximum Count of Positive Integer and Negative Integer,binary-search
Minimum Common Value,binary-search
Maximum Number of Integers to Choose From a Range I,binary-search
Maximize Win From Two Segments,binary-search
Maximum Number of Integers to Choose From a Range II,binary-search
House Robber IV,binary-search
Count the Number of Fair Pairs,binary-search
Subsequence With the Minimum Score,binary-search
Find the Maximum Number of Marked Indices,binary-search
Kth Largest Sum in a Binary Tree,binary-search
Minimum Time to Complete All Tasks,binary-search
Minimum Time to Repair Cars,binary-search
Prime Subtraction Operation,binary-search
Minimum Operations to Make All Array Elements Equal,binary-search
Minimum Time to Eat All Grains,binary-search
Minimize the Maximum Difference of Pairs,binary-search
Minimum Number of Visited Cells in a Grid,binary-search
Make Array Empty,binary-search
Minimum Operations to Make Numbers Non-positive,binary-search
Maximum Strictly Increasing Cells in a Matrix,binary-search
Maximum Sum Queries,binary-search
Maximum Beauty of an Array After Applying Operation,binary-search
Maximum Number of Groups With Increasing Length,binary-search
Find the Safest Path in a Grid,binary-search
