Question,Tag
Target Sum,dynamic-programming
Fibonacci Number,dynamic-programming
Freedom Trail,dynamic-programming
Longest Palindromic Subsequence,dynamic-programming
Coin Change II,dynamic-programming
Beautiful Arrangement,dynamic-programming
01 Matrix,dynamic-programming
Remove Boxes,dynamic-programming
Student Attendance Record II,dynamic-programming
Optimal Division,dynamic-programming
Longest Line of Consecutive One in Matrix,dynamic-programming
Maximum Vacation Days,dynamic-programming
Out of Boundary Paths,dynamic-programming
Delete Operation for Two Strings,dynamic-programming
Non-negative Integers without Consecutive Ones,dynamic-programming
K Inverse Pairs Array,dynamic-programming
Find the Derangement of An Array,dynamic-programming
Shopping Offers,dynamic-programming
Decode Ways II,dynamic-programming
Maximum Length of Pair Chain,dynamic-programming
Palindromic Substrings,dynamic-programming
2 Keys Keyboard,dynamic-programming
4 Keys Keyboard,dynamic-programming
Coin Path,dynamic-programming
Strange Printer,dynamic-programming
Number of Longest Increasing Subsequence,dynamic-programming
Valid Parenthesis String,dynamic-programming
Knight Probability in Chessboard,dynamic-programming
Maximum Sum of 3 Non-Overlapping Subarrays,dynamic-programming
Stickers to Spell Word,dynamic-programming
Partition to K Equal Sum Subsets,dynamic-programming
Minimum ASCII Delete Sum for Two Strings,dynamic-programming
Best Time to Buy and Sell Stock with Transaction Fee,dynamic-programming
Maximum Length of Repeated Subarray,dynamic-programming
Minimum Window Subsequence,dynamic-programming
Count Different Palindromic Subsequences,dynamic-programming
Delete and Earn,dynamic-programming
Cherry Pickup,dynamic-programming
Min Cost Climbing Stairs,dynamic-programming
Number Of Corner Rectangles,dynamic-programming
Largest Plus Sign,dynamic-programming
Cheapest Flights Within K Stops,dynamic-programming
Rotated Digits,dynamic-programming
Domino and Tromino Tiling,dynamic-programming
Champagne Tower,dynamic-programming
Minimum Swaps To Make Sequences Increasing,dynamic-programming
Split Array With Same Average,dynamic-programming
Soup Servings,dynamic-programming
Largest Sum of Averages,dynamic-programming
Race Car,dynamic-programming
Binary Trees With Factors,dynamic-programming
Count Unique Characters of All Substrings of a Given String,dynamic-programming
Sum of Distances in Tree,dynamic-programming
New 21 Game,dynamic-programming
Push Dominoes,dynamic-programming
Longest Mountain in Array,dynamic-programming
Shortest Path Visiting All Nodes,dynamic-programming
Minimum Number of Refueling Stops,dynamic-programming
Length of Longest Fibonacci Subsequence,dynamic-programming
Stone Game,dynamic-programming
Profitable Schemes,dynamic-programming
Super Egg Drop,dynamic-programming
All Possible Full Binary Trees,dynamic-programming
Bitwise ORs of Subarrays,dynamic-programming
Numbers At Most N Given Digit Set,dynamic-programming
Valid Permutations for DI Sequence,dynamic-programming
Sum of Subarray Minimums,dynamic-programming
Cat and Mouse,dynamic-programming
Maximum Sum Circular Subarray,dynamic-programming
Number of Music Playlists,dynamic-programming
Flip String to Monotone Increasing,dynamic-programming
Minimum Falling Path Sum,dynamic-programming
Knight Dialer,dynamic-programming
Distinct Subsequences II,dynamic-programming
Find the Shortest Superstring,dynamic-programming
Tallest Billboard,dynamic-programming
Delete Columns to Make Sorted III,dynamic-programming
Least Operators to Express Number,dynamic-programming
Binary Tree Cameras,dynamic-programming
Odd Even Jump,dynamic-programming
Longest Turbulent Subarray,dynamic-programming
Minimum Cost For Tickets,dynamic-programming
Number of Squareful Arrays,dynamic-programming
Minimum Cost to Merge Stones,dynamic-programming
Numbers With Repeated Digits,dynamic-programming
Best Sightseeing Pair,dynamic-programming
Video Stitching,dynamic-programming
Divisor Game,dynamic-programming
Longest Arithmetic Subsequence,dynamic-programming
Maximum Sum of Two Non-Overlapping Subarrays,dynamic-programming
Uncrossed Lines,dynamic-programming
Minimum Score Triangulation of Polygon,dynamic-programming
Partition Array for Maximum Sum,dynamic-programming
Longest String Chain,dynamic-programming
Last Stone Weight II,dynamic-programming
Longest Repeating Substring,dynamic-programming
Campus Bikes II,dynamic-programming
Digit Count in Range,dynamic-programming
Shortest Common Supersequence,dynamic-programming
Filling Bookcase Shelves,dynamic-programming
Smallest Sufficient Team,dynamic-programming
Minimum Cost Tree From Leaf Values,dynamic-programming
N-th Tribonacci Number,dynamic-programming
Largest 1-Bordered Square,dynamic-programming
Stone Game II,dynamic-programming
Longest Common Subsequence,dynamic-programming
Longest Chunked Palindrome Decomposition,dynamic-programming
Number of Dice Rolls With Target Sum,dynamic-programming
As Far from Land as Possible,dynamic-programming
Shortest Distance to Target Color,dynamic-programming
Maximum Subarray Sum with One Deletion,dynamic-programming
Make Array Strictly Increasing,dynamic-programming
K-Concatenation Maximum Sum,dynamic-programming
Valid Palindrome III,dynamic-programming
Longest Arithmetic Subsequence of Given Difference,dynamic-programming
Count Vowels Permutation,dynamic-programming
Dice Roll Simulation,dynamic-programming
Airplane Seat Assignment Probability,dynamic-programming
Toss Strange Coins,dynamic-programming
Maximum Profit in Job Scheduling,dynamic-programming
Palindrome Removal,dynamic-programming
Maximum Score Words Formed by Letters,dynamic-programming
Handshakes That Don't Cross,dynamic-programming
Greatest Sum Divisible by Three,dynamic-programming
Number of Ways to Stay in the Same Place After Some Steps,dynamic-programming
Count Square Submatrices with All Ones,dynamic-programming
Palindrome Partitioning III,dynamic-programming
Minimum Falling Path Sum II,dynamic-programming
Number of Paths with Max Score,dynamic-programming
Minimum Insertion Steps to Make a String Palindrome,dynamic-programming
Minimum Distance to Type a Word Using Two Fingers,dynamic-programming
Minimum Number of Taps to Open to Water a Garden,dynamic-programming
Find the City With the Smallest Number of Neighbors at a Threshold Distance,dynamic-programming
Minimum Difficulty of a Job Schedule,dynamic-programming
Jump Game V,dynamic-programming
Maximum Students Taking Exam,dynamic-programming
Count All Valid Pickup and Delivery Options,dynamic-programming
Largest Multiple of Three,dynamic-programming
Longest ZigZag Path in a Binary Tree,dynamic-programming
Maximum Sum BST in Binary Tree,dynamic-programming
Sort Integers by The Power Value,dynamic-programming
Pizza With 3n Slices,dynamic-programming
Count Number of Teams,dynamic-programming
Find All Good Strings,dynamic-programming
Reducing Dishes,dynamic-programming
Stone Game III,dynamic-programming
Number of Ways to Paint N × 3 Grid,dynamic-programming
Restore The Array,dynamic-programming
Build Array Where You Can Find The Maximum Exactly K Comparisons,dynamic-programming
Constrained Subsequence Sum,dynamic-programming
Number of Ways to Wear Different Hats to Each Other,dynamic-programming
Number of Ways of Cutting a Pizza,dynamic-programming
Form Largest Integer With Digits That Add up to Target,dynamic-programming
Max Dot Product of Two Subsequences,dynamic-programming
Cherry Pickup II,dynamic-programming
Probability of a Two Boxes Having The Same Number of Distinct Balls,dynamic-programming
Paint House III,dynamic-programming
Find Two Non-overlapping Sub-arrays Each With Target Sum,dynamic-programming
Allocate Mailboxes,dynamic-programming
Kth Ancestor of a Tree Node,dynamic-programming
Longest Subarray of 1's After Deleting One Element,dynamic-programming
Parallel Courses II,dynamic-programming
Count Submatrices With All Ones,dynamic-programming
Stone Game IV,dynamic-programming
Number of Sub-arrays With Odd Sum,dynamic-programming
Number of Good Ways to Split a String,dynamic-programming
Minimum Number of Increments on Subarrays to Form a Target Array,dynamic-programming
String Compression II,dynamic-programming
Get the Maximum Score,dynamic-programming
Minimum Cost to Cut a Stick,dynamic-programming
The Most Similar Path in a Graph,dynamic-programming
Minimum Number of Days to Eat N Oranges,dynamic-programming
Stone Game V,dynamic-programming
Maximum Length of Subarray With Positive Product,dynamic-programming
Number of Ways to Reorder Array to Get Same BST,dynamic-programming
Count All Possible Routes,dynamic-programming
Minimum Time to Make Rope Colorful,dynamic-programming
Maximum Non Negative Product in a Matrix,dynamic-programming
Minimum Cost to Connect Two Groups of Points,dynamic-programming
Minimum One Bit Operations to Make Integers Zero,dynamic-programming
Count Subtrees With Max Distance Between Cities,dynamic-programming
Number of Sets of K Non-Overlapping Line Segments,dynamic-programming
Best Team With No Conflicts,dynamic-programming
Count Substrings That Differ by One Character,dynamic-programming
Number of Ways to Form a Target String Given a Dictionary,dynamic-programming
Count Sorted Vowel Strings,dynamic-programming
Kth Smallest Instructions,dynamic-programming
Get Maximum in Generated Array,dynamic-programming
Minimum Deletions to Make String Balanced,dynamic-programming
Minimum Jumps to Reach Home,dynamic-programming
Distribute Repeating Integers,dynamic-programming
Maximize Grid Happiness,dynamic-programming
Ways to Make a Fair Array,dynamic-programming
Minimum Number of Removals to Make Mountain Array,dynamic-programming
Minimum Incompatibility,dynamic-programming
Longest Palindromic Subsequence II,dynamic-programming
Delivering Boxes from Storage to Ports,dynamic-programming
Stone Game VII,dynamic-programming
Maximum Height by Stacking Cuboids,dynamic-programming
Count Ways to Distribute Candies,dynamic-programming
Jump Game VI,dynamic-programming
Where Will the Ball Fall,dynamic-programming
Sum Of Special Evenly-Spaced Elements In Array,dynamic-programming
Find Minimum Time to Finish All Jobs,dynamic-programming
Cat and Mouse II,dynamic-programming
Count Ways to Make Array With Product,dynamic-programming
Palindrome Partitioning IV,dynamic-programming
Maximum Subarray Sum After One Operation,dynamic-programming
Maximum Absolute Sum of Any Subarray,dynamic-programming
Maximum Number of Events That Can Be Attended II,dynamic-programming
Closest Subsequence Sum,dynamic-programming
Maximum Score from Performing Multiplication Operations,dynamic-programming
Maximize Palindrome Length From Subsequences,dynamic-programming
Closest Dessert Cost,dynamic-programming
